genre,time_bin,x_centered,y_centered,z_centered
edm,48.2000,1.2808,10.6501,-1.8402
edm,48.3000,1.3232,10.6845,-1.8563
edm,48.4000,0.9638,10.7590,-1.8085
edm,48.5000,1.1074,10.8219,-1.8284
edm,48.6000,0.9327,10.9096,-1.8157
edm,48.7000,1.3022,10.8739,-1.8680
edm,48.8000,1.2671,10.8974,-1.8714
edm,48.9000,0.9188,10.9225,-1.8364
edm,49.0000,1.0665,10.8445,-1.8608
edm,49.1000,0.9000,10.8484,-1.8369
edm,49.2000,1.2523,10.8847,-1.8819
edm,49.3000,1.2956,10.9193,-1.8849
edm,49.4000,0.9766,10.9561,-1.8349
edm,49.5000,1.1888,10.9378,-1.8592
edm,49.6000,1.0474,10.8692,-1.8278
edm,49.7000,1.4359,10.7495,-1.8670
edm,49.8000,1.4164,10.6287,-1.8759
edm,49.9000,1.0967,10.5392,-1.8315
edm,50.0000,1.2915,10.4847,-1.8562
edm,50.1000,1.1507,10.4186,-1.8376
edm,50.2000,1.4776,10.3367,-1.8826
edm,50.3000,1.4721,10.2501,-1.8946
edm,50.4000,1.1474,10.1396,-1.8276
edm,50.5000,1.2805,9.9945,-1.8428
edm,50.6000,1.1296,9.8706,-1.8195
edm,50.7000,1.4650,9.7294,-1.8650
edm,50.8000,1.4454,9.6712,-1.8610
edm,50.9000,1.1355,9.6546,-1.8198
edm,51.0000,1.3003,9.6011,-1.8539
edm,51.1000,1.1966,9.5649,-1.8213
edm,51.2000,1.5411,9.5329,-1.8676
edm,51.3000,1.4366,9.5115,-1.8344
edm,51.4000,1.5120,9.5328,-1.8217
edm,51.5000,1.5717,9.5780,-1.8340
edm,51.6000,1.5868,9.5535,-1.8365
edm,51.7000,1.6190,9.4587,-1.8317
edm,51.8000,1.8166,9.3787,-1.8479
edm,51.9000,1.5663,9.3404,-1.7938
edm,52.0000,1.7141,9.2614,-1.8094
edm,52.1000,1.5271,9.1404,-1.7806
edm,52.2000,1.7617,9.0273,-1.8300
edm,52.3000,1.5531,8.8878,-1.8136
edm,52.4000,1.4938,8.6911,-1.7918
edm,52.5000,1.4805,8.5745,-1.7859
edm,52.6000,1.4305,8.5235,-1.7870
edm,52.7000,1.3677,8.4599,-1.7842
edm,52.8000,1.4561,8.4517,-1.7966
edm,52.9000,1.1018,8.4334,-1.7389
edm,53.0000,1.2679,8.5570,-1.7458
edm,53.1000,1.1547,8.5900,-1.7292
edm,53.2000,1.4637,8.8041,-1.7813
edm,53.3000,1.3230,8.8258,-1.7553
edm,53.4000,1.3236,8.8585,-1.7447
edm,53.5000,1.3192,8.8611,-1.7474
edm,53.6000,1.2976,8.8429,-1.7497
edm,53.7000,1.2603,8.8340,-1.7490
edm,53.8000,1.4307,8.8656,-1.7770
edm,53.9000,1.1925,8.7104,-1.7249
edm,54.0000,1.3888,8.7861,-1.7402
edm,54.1000,1.2600,8.8254,-1.7131
edm,54.2000,1.5801,9.0521,-1.7650
edm,54.3000,1.4068,9.0947,-1.7501
edm,54.4000,1.3646,9.2043,-1.7620
edm,54.5000,1.3369,9.2649,-1.7644
edm,54.6000,1.3356,9.3028,-1.7581
edm,54.7000,1.3401,9.2828,-1.7616
edm,54.8000,1.5160,9.3374,-1.7967
edm,54.9000,1.2176,9.2871,-1.7601
edm,55.0000,1.3816,9.4111,-1.7966
edm,55.1000,1.2485,9.4222,-1.7750
edm,55.2000,1.6304,9.5976,-1.8352
edm,55.3000,1.4832,9.5896,-1.8199
edm,55.4000,1.4439,9.5840,-1.8361
edm,55.5000,1.4038,9.5430,-1.8410
edm,55.6000,1.3688,9.5076,-1.8557
edm,55.7000,1.3807,9.4943,-1.8626
edm,55.8000,1.5476,9.5133,-1.8779
edm,55.9000,1.1916,9.3721,-1.8139
edm,56.0000,1.2962,9.3526,-1.8430
edm,56.1000,1.0909,9.2696,-1.8265
edm,56.2000,1.3481,9.2354,-1.8556
edm,56.3000,1.1797,9.1918,-1.8234
edm,56.4000,1.1846,9.3170,-1.8385
edm,56.5000,1.1760,9.4842,-1.8574
edm,56.6000,1.1693,9.6446,-1.8687
edm,56.7000,1.1596,9.7180,-1.8637
edm,56.8000,1.2935,9.8041,-1.8887
edm,56.9000,0.9854,9.8702,-1.8447
edm,57.0000,1.1407,9.9892,-1.8608
edm,57.1000,0.9789,10.0191,-1.8413
edm,57.2000,1.2269,10.0629,-1.8885
edm,57.3000,1.0447,9.9992,-1.8628
edm,57.4000,1.0294,9.9194,-1.8622
edm,57.5000,1.0463,9.8660,-1.8582
edm,57.6000,1.0863,9.8252,-1.8565
